,Year,"Access to electricity, rural (% of rural population)",Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Land under cereal production (hectares),Livestock production index (2014-2016 = 100),Permanent cropland (% of land area),Rural land area (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population,Rural population (% of total population),Rural population growth (annual %),Rural population living in areas where elevation is below 5 meters (% of total population),Surface area (sq. km)
10,2013.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.046919053,0.30368686,0.01781746,486033.5196,34.683466945999996,11.11111111,0.019440124,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,1.16,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,58652.0,57.01,0.691191802,12.9350444574,180.0
11,2014.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.055358095,0.398227879,0.014812973,413407.8212,34.683466945999996,11.11111111,0.019306137,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,3.95,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,59006.0,56.959,0.601745854,12.9350444574,180.0
12,2015.0,100.0,33.518987358,11.11111111,20.0,175.6,117.06666666599999,71.93798449799999,124.86000000000001,50.823529412,46.02908000000001,0.092621379,0.496427303,0.012519788,370949.7207,34.683466945999996,11.11111111,0.019183364,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,3.185,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,84.80002661,6.251517505,11.38656615,59314.0,56.892,0.520623218,0.391895299,180.0
13,2016.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.08518762,0.33555021,0.018611768,555307.2626,34.683466945999996,11.11111111,0.019070504,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,2.71,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,59577.0,56.808,0.442422772,12.9350444574,180.0
14,2017.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.079480297,0.297791805,0.02391857,739664.8045,34.683466945999996,11.11111111,0.018968313,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,2.485,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,59791.0,56.707,0.358555441,12.9350444574,180.0
15,2018.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.076267043,0.3114233,0.02225303,729050.2793,34.683466945999996,11.11111111,0.018874691,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,1.375,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,59963.0,56.589,0.287255738,12.9350444574,180.0
16,2019.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.104098348,0.350669613,0.027572683,936312.8492,34.683466945999996,11.11111111,0.018789576,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,1.345,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,60091.0,56.454,0.213237457,12.9350444574,180.0
17,2020.0,100.0,34.961912991999995,11.11111111,20.0,175.6,117.06666666599999,66.66666667,55.68149999999999,40.0,18.4462,0.069199439,0.339581716,0.0209751678,666256.98326,33.484869837999995,11.11111111,0.018764366,2000.0,560.0,9260.794,4134.42,92.126,32.567349888,4.379829165,49.612618737999995,18.426215952,0.7,92.85400000000001,2.333333333,4.2,180.0,2234.2,96.586,15.27777778,360.206022282,9.9907905078,57.804602128,60011.0,56.303,-0.133220116,3.040635128,180.0
18,2021.0,100.0,34.961912991999995,11.11111111,20.0,175.6,117.06666666599999,66.66666667,55.68149999999999,40.0,18.4462,0.102735794,0.353604049,0.020975167800000003,666256.98326,33.484869837999995,11.11111111,0.018772821,2000.0,560.0,9260.794,4134.42,92.126,32.567349888,4.379829165,49.612618738,18.426215952,3.855,92.85400000000001,2.333333333,4.2,180.0,2234.2,96.58600000000001,15.27777778,360.206022282,9.9907905078,57.804602128,59803.0,56.134,-0.347205183,3.040635128,180.0
19,2022.0,100.0,34.961912991999995,11.11111111,20.0,175.6,117.06666666599999,66.66666667,55.68149999999999,40.0,18.4462,0.226718764,0.338202415,0.020975167800000003,666256.98326,32.289244558,11.11111111,0.0189739386,2000.0,560.0,11620.794,4134.42,92.126,32.567349888,4.379829165,49.612618737999995,227.36751276,2.722,92.85400000000001,2.333333333,4.2,180.0,2822.2,96.586,15.27777778,360.206022282,9.9907905078,57.804602128,59554.0,55.948,-0.417236293,3.040635128,180.0
20,2023.0,23.608830851,14.323603744000001,70.844349182,327403.3334,247238.2,153.05877922,41.102902212000004,8233.5575,80.33133330999999,9815.154480000001,2.5602309934,1.0184772095999999,16.28612317,2623539718.8,76.550597896,51.568706930000005,0.10722248859999998,1272200.0,593.0,14712427.0,2695.0,93.34400000000001,30.196516229999997,35.93569307200001,27.851756885999997,165.29162498,131.816194438,89.19000000000001,10.1150438388,23699.260000000002,344236.0,5809980.6,81.15,6.9092457332,515517.794728,1.1668913908,4280.2511644999995,4349220.4,14.168000000000001,-0.571121947,0.7742537062,924423.2
21,1999.0,100.0,33.081477273999994,7.407407407,4.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.1800842972,0.8637789257999999,0.699999068,23271000.0,34.683466945999996,7.407407407,0.006526883,400.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,250.0,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712619995,0.0,0.0,-0.38051656059999994,13.453674208799999,54.0
22,2000.0,100.0,33.518987358,7.407407407,4.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.1801085054,0.8637789257999999,0.668952155,23281000.0,34.683466945999996,7.407407407,0.006469038,400.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,250.0,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,28.17743115,23.64210718,14.72203389,0.0,0.0,-0.38051656059999994,2.985044056,54.0
23,2001.0,100.0,33.081477273999994,7.407407407,4.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.1800842972,0.8637789257999999,0.69232761,25481000.0,34.683466945999996,7.407407407,0.00639959,400.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,250.0,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712619995,0.0,0.0,-0.38051656059999994,13.453674208799999,54.0
24,2002.0,100.0,33.081477273999994,7.407407407,4.0,175.6,117.06666666599999,71.937984498,124.85999999999999,50.823529412,46.02908000000001,0.1800842972,0.8637789257999999,0.795458124,31319000.0,34.683466945999996,7.407407407,0.006358087,400.0,748.0,139509.478,2474.38,98.14599999999999,42.104675066000006,28.940930227999996,50.027084446,40.600420455999995,76.99100000000001,96.772,18.51851852,10.0,54.0,96820.0,93.368,2.083333333,63434.022869869994,29.2547460504,3305.7267707579995,0.0,0.0,-0.38051656059999994,14.5215217056,54.0
25,2003.0,100.0,33.081477273999994,7.407407407,4.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.1800842972,0.8637789257999999,0.821851058,34407000.0,34.683466945999996,7.407407407,0.006316621,400.0,748.0,139509.478,2474.38,98.14599999999999,42.104675066000006,28.940930227999996,50.027084446,40.600420455999995,76.99100000000001,96.772,18.51851852,10.0,54.0,96820.0,93.368,2.083333333,63434.022869869994,29.2547460504,3305.7267707580004,0.0,0.0,-0.38051656059999994,14.5215217056,54.0
26,2004.0,100.0,33.081477273999994,7.407407407,4.0,175.6,117.06666666599999,71.93798449799999,124.85999999999999,50.823529412,46.02908000000001,0.1800842972,0.8637789257999999,0.844158465,37858000.0,34.683466945999996,7.407407407,0.006275494,400.0,748.0,139509.478,2474.38,97.66799999999999,42.276868442,28.968035948599997,50.28464462600001,40.600420455999995,76.99100000000001,96.41,18.51851852,10.0,54.0,96820.0,93.6,2.083333333,63434.022869869994,29.2547460504,3305.7267707580004,0.0,0.0,-0.38051656059999994,14.5215217056,54.0
27,2005.0,100.0,33.081477273999994,7.407407407,4.0,175.6,117.06666666599999,69.71576227599999,124.55049999999999,50.823529412,45.897960000000005,0.5746588588,0.929468757,0.801641532,39025000.0,34.683466945999996,7.407407407,0.006234997,400.0,748.0,139509.478,2474.38,97.66799999999999,42.276868442,28.968035948599997,50.284644626,40.600420455999995,76.99100000000001,96.41,18.51851852,10.0,54.0,96820.0,93.6,2.083333333,63434.022869869994,29.2547460504,3305.7267707580004,0.0,0.0,-0.38051656059999994,14.5215217056,54.0
28,2006.0,100.0,32.849133322,7.407407407,4.0,825.6,957.3611109999999,33.32133753200001,68.7135,54.0,26.218040000000002,0.34562911099999993,0.998287854,0.7910873578000001,33618000.0,53.124475440000005,7.407407407,0.00619934,400.0,560.0,15048.602000000003,4696.54,102.81800000000001,1.3438768302,0.405455364,1.8483099096,18.426215952,218.67,106.474,18.51851852,10.0,54.0,3202.8,109.726,2.083333333,134.916364474,29.516565904400004,63.621257017999994,0.0,0.0,-0.6064899643999999,4.6264771314,54.0
29,2007.0,100.0,32.849133322,7.407407407,4.0,825.6,957.3611109999999,33.32133753200001,68.7135,54.0,26.218040000000002,0.34562911099999993,0.965377649,0.7910873578000001,33618000.0,53.124475440000005,7.407407407,0.006164468,400.0,560.0,15048.602000000003,4696.54,102.81800000000001,1.3438768302,0.405455364,1.8483099096,18.426215952,218.67,106.474,18.51851852,10.0,54.0,3202.8,109.726,2.083333333,134.916364474,29.516565904400004,63.621257017999994,0.0,0.0,-0.6064899643999999,4.6264771314,54.0
30,2008.0,100.0,32.849133322,5.555555556,3.0,825.6,957.3611109999999,33.32133753200001,68.7135,54.0,26.218040000000002,0.34562911099999993,0.910139022,0.5052463694,26713400.0,53.124475440000005,5.555555556,0.004596081,300.0,560.0,15048.602000000003,4696.54,102.81800000000001,1.3438768302,0.405455364,1.8483099096,18.426215952,218.67,106.474,18.51851852,10.0,54.0,3202.8,109.726,2.083333333,134.916364474,29.516565904400004,63.621257017999994,0.0,0.0,-0.6064899643999999,4.6264771314,54.0
31,2009.0,100.0,32.849133322,5.555555556,3.0,825.6,957.3611109999999,33.32133753200001,68.7135,54.0,26.218040000000002,0.34562911099999993,0.7542247,0.5052463694,26713400.0,53.124475440000005,5.555555556,0.004570662,300.0,560.0,15048.602000000003,4696.54,102.81800000000001,1.3438768302,0.405455364,1.8483099096,18.426215952,218.67,106.474,18.51851852,10.0,54.0,3202.8,109.726,2.083333333,134.916364474,29.516565904400004,63.621257017999994,0.0,0.0,-0.6064899643999999,4.6264771314,54.0
32,2010.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.0976736248,0.627645028,0.286094289,18981000.0,34.683466945999996,5.555555556,0.004606597,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,76.99100000000001,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.521616588399997,3283.5569712620004,0.0,0.0,-0.38051656059999994,13.4536742088,54.0
33,2011.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.0976736248,0.613005425,0.312941026,19755000.0,34.683466945999996,5.555555556,0.004646552,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,76.99100000000001,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712620004,0.0,0.0,-0.38051656059999994,13.4536742088,54.0
34,2012.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.040304636,0.618048016,0.281396535,17948000.0,34.683466945999996,5.555555556,0.004629773,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,76.99100000000001,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.521616588399997,3283.5569712620004,0.0,0.0,-0.38051656059999994,13.4536742088,54.0
35,2013.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.09916798,0.628763768,0.328283344,21226000.0,34.683466945999996,5.555555556,0.004615314,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,339.0666667,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712619995,0.0,0.0,-0.38051656059999994,13.453674208799999,4290.0
36,2014.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.001671053,0.640844408,0.211116703,13541000.0,34.683466945999996,5.555555556,0.004605607,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,316.9,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712620004,0.0,0.0,-0.38051656059999994,13.4536742088,4290.0
37,2015.0,100.0,33.518987358,5.555555556,3.0,175.6,117.06666666599999,71.93798449799999,124.86000000000001,50.823529412,46.02908000000001,0.019901582,0.705165507,0.227889497,15165000.0,34.683466945999996,5.555555556,0.004598617,300.0,748.0,139509.478,2474.38,105.47,45.59636976200001,38.8363324512,49.494307546,40.600420455999995,284.6666667,102.872,18.51851852,10.0,54.0,96820.0,94.32,2.083333333,20.30314892,18.02384269,11.22351832,0.0,0.0,-0.38051656059999994,2.291275961,4290.0
38,2016.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.015281238,0.722676906,0.307018453,21184000.0,34.683466945999996,5.555555556,0.004647272,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,177.2,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712619995,0.0,0.0,-0.38051656059999994,13.453674208799999,4290.0
39,2017.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.007809462,0.612947737,0.274700811,19620000.0,34.683466945999996,5.555555556,0.00469682,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,140.0,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712620004,0.0,0.0,-0.38051656059999994,13.4536742088,4290.0
40,2018.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.008397191,0.651455072,0.234985525,16980000.0,34.683466945999996,5.555555556,0.004693514,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,363.7666667,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.521616588399997,3283.5569712620004,0.0,0.0,-0.38051656059999994,13.4536742088,4290.0
41,2019.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.077569961,0.538242548,0.220961505,16403000.0,34.683466945999996,5.555555556,0.004694028,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,271.4,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712620004,0.0,0.0,-0.38051656059999994,13.4536742088,4290.0
42,2020.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.000581045,0.661855977,0.255490408,17596000.0,34.683466945999996,5.555555556,0.00469535,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,340.2333333,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.521616588399997,3283.5569712620004,0.0,0.0,-0.38051656059999994,13.4536742088,4290.0
43,2021.0,100.0,33.081477273999994,5.555555556,3.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.09916798,0.728171105,0.297045123,21171000.0,34.683466945999996,5.555555556,0.004704849,300.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,239.4666667,102.872,18.51851852,10.0,54.0,96820.0,94.32000000000001,2.083333333,63297.007871854,29.5216165884,3283.5569712619995,0.0,0.0,-0.38051656059999994,13.453674208799999,4290.0
44,2022.0,100.0,34.816128636,7.833333333600001,12.6,825.6,957.3611109999999,33.32133753200001,63.896,54.0,24.978360000000002,0.081904665,0.690865404,0.33132582480000006,21349265.262000002,54.362518448,3.6666666668,0.0040001632,260.0,560.0,14343.844000000001,4682.139999999999,103.24600000000001,1.220147892,0.36894847140000003,1.7020268682000002,227.36751276,243.91,103.974,32.261111112,56.760000000000005,128.4,3064.0,104.478,2.083333333,63297.007871854,29.521616588399997,3283.5569712620004,0.0,0.0,-1.9956078810000002,13.212236852799998,2679.6
45,2023.0,23.608830851,14.323603744000001,70.844349182,327403.3334,247238.2,153.05877922,41.102902212000004,8233.5575,80.33133330999999,9815.154480000001,2.5602309934,1.0184772095999999,16.28612317,2623539718.8,76.550597896,51.568706930000005,0.10722248859999998,1272200.0,593.0,14712427.0,2695.0,93.34400000000001,30.196516229999997,35.93569307200001,27.851756885999997,165.29162498,131.816194438,89.19000000000001,10.1150438388,23699.260000000002,344236.0,5809980.6,81.15,6.9092457332,515517.794728,1.1668913908,4280.2511644999995,4349220.4,14.168000000000001,-0.571121947,0.7742537062,924423.2
46,1999.0,100.0,32.849133322,11.25,27.0,827.2,958.4277776659999,33.32133753200001,68.7135,54.0,26.218040000000002,0.34562911099999993,0.8672754314000001,0.27466657440000003,11896127.5856,53.124475440000005,0.833333333,0.005222614,200.0,560.0,15048.602000000003,4696.54,102.81800000000001,1.3438768302,0.405455364,1.8483099096,18.426215952,100.0,106.474,53.95833333,129.5,240.0,3202.8,109.726,2.083333333,134.916364474,29.5165659044,63.621257017999994,0.0,0.0,-0.6064899643999999,4.6264771314,264.0
47,2000.0,100.0,34.061254534,11.25,27.0,825.6,957.3611109999999,34.836489048000004,64.216,54.0,25.06776,0.34927521679999995,0.8672754314000001,0.2746665744,11896127.5856,52.509209614,0.833333333,0.005043119,200.0,560.0,14184.626,4718.540000000001,100.99199999999999,1.279987332,0.3749479196,1.7942895071999998,263.316485842,100.0,102.73400000000001,53.875,129.3,240.0,3007.8,104.218,2.083333333,245.7772588,51.45259223,140.6685801,0.0,0.0,-0.2182437696,10.7935033,264.0
