,"Access to electricity, rural (% of rural population)",Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Land under cereal production (hectares),Livestock production index (2014-2016 = 100),Permanent cropland (% of land area),Rural land area (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population,Rural population (% of total population),Rural population growth (annual %),Rural population living in areas where elevation is below 5 meters (% of total population),Surface area (sq. km)
18,97.09197325,5.990503825,58.12366803,379100.0,,,,10314.9575,,4892.1766,17.06363394,1.871025292,26.42019908,4954700544.0,98.1696273,11.80411818,0.216000609,7699000.0,327.0,5059633.97,2091.4,99.21,43.98903105,66.58349599,37.726521,986.8021558,20.4525289,99.84,1.852781994,12084.4,652230.0,2419213.0,100.27,0.323505512,,,,26643455.0,74.75,2.559272446,,652860.0
19,91.60606002,5.122336227,58.27698818,380100.0,,,,10549.4125,,4289.9782,16.69459947,1.821348719,22.04289675,3979453248.0,98.1696273,11.94977232,0.212447076,7794000.0,327.0,4304555.5,2253.2,94.89,44.45359961,63.13749452,39.52256336,847.5482234,17.35222864,96.19,1.852781994,12084.4,652230.0,1910389.0,98.64,0.331171519,,,,27333488.0,74.505,2.556908766,,652860.0
20,97.07562695,6.006314128,58.27698818,380100.0,,,,10222.785,,4258.4498,21.03506033,1.769459716,25.77397074,4845363303.0,98.1696273,11.94057311,0.206198128,7788000.0,327.0,5771861.0,2184.7,115.78,45.01603987,58.8156026,41.57322395,535.5256627,10.9725,109.41,1.852781994,12084.4,652230.0,2641911.0,99.5,0.340370728,,,,28042342.0,74.246,2.56029651,,652860.0
21,97.06671259,6.506929763,58.74154823,383130.0,,,,10679.11,,4465.977,,,29.97558252,5981905983.0,98.1696273,12.00343437,0.200886631,7829000.0,327.0,6241828.0,2050.8,121.77,45.98340782,53.81646841,44.18693555,427.560193,8.714494827,112.3,1.852781994,12084.4,652230.0,3043589.0,97.12,0.340370728,,,,28829317.0,73.974,2.767723855,,652860.0
22,97.05720222,6.506929763,58.74154823,383130.0,,,,,,,,,33.59761887,4793204105.0,,12.00343437,0.195239527,7829000.0,,4970609.31,2099.0,125.67,46.58782301,53.19996777,45.24348099,255.2543711,5.202572487,114.32,1.852781994,12084.4,652230.0,2368118.0,96.07,0.340370728,,,,29547690.0,73.686,2.461274744,,652860.0
23,,,,,,,,,,,,,,,,,,,,4824671.6,2253.3,121.34,46.58907003,47.44943011,46.53570685,,,111.43,,,,2141199.0,95.4,,,,,30181937.0,73.384,2.123806465,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,100.0,,41.78832117,11450.0,8200.0,142.1143847,71.54471545,2636.5525,91.96428571,1035.848,4.623562122,3.764101789,25.91874552,832541636.5,57.69614928,21.05839416,0.185603475,577000.0,1485.0,497500.0,2798.1,49.57,50.69299322,62.4149787,42.16342285,530.0,18.37088388,60.3,28.14781022,7712.5,27400.0,177800.0,76.17,4.452554745,,,,1828925.0,58.831,-1.594233873,,28750.0
26,100.0,,41.75182482,11440.0,8087.0,139.9134948,71.46666667,2682.5175,91.52542373,1091.7826,5.970691794,0.937486657,24.51541204,853223432.0,57.67765807,21.09489051,0.187113936,578000.0,1485.0,565800.0,3175.1,51.88,49.91958952,61.76256247,41.28761967,,32.35294118,63.53,28.07664234,7693.0,27400.0,178200.0,80.43,4.416058394,27369.24083,3.542365671,997.5052193,1799636.0,58.259,-1.614394032,2.701435772,28750.0
27,100.0,,41.56934307,11390.0,7647.0,132.3010381,71.00271003,2620.19,90.43478261,1052.8638,5.54071927,0.86458999,22.7161642,890950856.2,55.39115433,21.09489051,0.18887821,578000.0,1485.0,502500.0,3030.8,53.23,48.98881745,61.22814478,40.23626343,,32.35294118,65.39,28.12324818,7705.77,27400.0,165800.0,82.22,4.416058394,,,,1761589.0,57.565,-2.136817959,,28750.0
28,100.0,,41.60583942,11400.0,7515.0,130.017301,70.05494505,2550.8725,92.24806202,1196.1422,6.516126591,0.965784257,22.02511409,957666991.0,52.86449565,21.09489051,0.189445462,578000.0,1485.0,518800.0,3291.9,52.12,48.14332799,60.38249935,39.40434102,,97.58477509,65.88,28.16985401,7718.54,27400.0,157600.0,84.53,4.416058394,,,,1723790.0,56.499,-2.169088757,,28750.0
29,100.0,,40.91240876,11210.0,5917.0,102.3702422,70.10869565,2584.0225,91.60305344,1210.1184,5.143025786,1.000180619,21.97825708,1233309074.0,50.05774918,21.09489051,0.190155599,578000.0,1485.0,488500.0,3185.7,54.89,47.9953407,60.16896175,39.24149714,,99.31956747,69.05,28.21645985,7731.31,27400.0,153340.0,87.79,4.416058394,,,,1684768.0,55.427,-2.289748621,,28750.0
30,100.0,,40.94890511,11220.0,7574.0,131.0380623,69.35933148,2485.38,91.33858268,1164.9714,4.4909842,1.071021385,20.53748631,1475553859.0,46.9216092,21.09489051,0.190951982,578000.0,1485.0,498800.0,3466.3,58.48,47.60078757,59.63579653,38.87731772,,101.3073356,72.33,28.26306569,7744.08,27400.0,143900.0,90.87,4.416058394,,,,1645111.0,54.349,-2.382000972,,28750.0
31,100.0,,39.30656934,10770.0,8122.0,150.9665428,68.99441341,2468.37,90.625,1167.2064,13.94427202,1.108976341,18.84530872,1517438816.0,43.39447577,19.6350365,0.178649285,538000.0,1485.0,511200.0,3462.1,58.38,46.96271842,59.03922752,38.14874299,,112.375316,71.11,28.30967153,7756.85,27400.0,147655.0,88.21,4.416058394,,,,1604189.0,53.269,-2.518952622,,28750.0
32,100.0,,40.87591241,11200.0,7902.0,135.3082192,68.55524079,2423.92,90.16393443,1111.7486,13.11936084,1.190219206,17.70835362,1575348420.0,40.67839235,21.31386861,0.195151488,584000.0,1485.0,507500.0,3602.6,61.97,46.35776043,58.3647653,37.51615951,,85.80246575,73.85,28.35627737,7769.62,27400.0,140870.0,89.74,4.416058394,,,,1561661.0,52.185,-2.686833451,,28750.0
33,100.0,17.42627346,40.83941606,11190.0,7317.0,126.5916955,67.64705882,2301.9725,90.16393443,1106.027,3.384378147,0.933264645,17.15361957,1831547686.0,42.57297193,21.09489051,0.194611681,578000.0,1485.0,493600.0,3728.4,61.1,45.49346207,57.48480527,36.57014159,,88.4199654,74.88,28.40288321,7782.39,27400.0,132390.0,93.17,4.379562044,,,,1517619.0,51.098,-2.860733909,,28750.0
34,100.0,9.991532599,43.10218978,11810.0,7438.0,121.9344262,66.25386997,2138.04,90.35087719,1035.3116,7.650853346,0.839775847,16.83705384,2168840323.0,44.54401256,22.26277372,0.206968107,610000.0,1485.0,608500.0,4081.2,70.64,44.65603252,56.78943502,35.57035081,,77.3097377,77.15,28.44948905,7795.16,27400.0,149100.0,85.72,3.175182482,,,,1473922.0,50.009,-2.921578419,,28750.0
35,100.0,16.81511696,43.84306569,12013.0,,,,2031.85,,1032.0634,2.987539829,0.997295222,16.7943836,2022750082.0,46.59623826,22.22627737,0.208025977,609000.0,1485.0,630900.0,4315.3,75.19,44.05163492,57.14375215,34.9238094,,90.37835796,79.91,28.49609489,7807.93,27400.0,146200.0,86.27,3.175182482,,,,1432259.0,48.924,-2.867395703,,28750.0
36,100.0,17.02322484,43.84306569,12013.0,,,,2043.9525,,1023.6598,2.42005371,1.003346441,17.9558664,2141583008.0,48.73477038,22.84671533,0.214897181,626000.0,1485.0,693800.0,4761.8,82.74,42.08440843,53.06079495,34.2085971,,85.02392971,85.68,28.54270073,7820.7,27400.0,145700.0,89.69,2.554744526,,,,1393502.0,47.837,-2.743291493,,28750.0
37,100.0,17.01082431,43.83211679,12010.0,,,,2031.7825,,1059.2112,2.602337127,0.952701238,18.2267896,2349571761.0,50.96517032,22.70072993,0.214099226,622000.0,1485.0,701200.0,4750.7,87.45,45.38802197,54.19698991,38.48788261,,97.43427653,89.92,28.59465328,7834.935,27400.0,147599.0,93.33,2.700729927,,,,1358266.0,46.753,-2.561111693,,28750.0
38,99.9,17.03987347,43.84306569,12013.0,,,,2072.26,,1061.6548,2.485838813,0.908226295,18.76680189,2312038877.0,53.29348774,22.59489051,0.213453243,619100.0,1485.0,697400.0,4883.8,93.86,45.99563111,56.89661316,37.42390683,,93.0615571,95.06,28.64660584,7849.17,27400.0,142800.0,96.58,2.806569343,,,,1324613.0,45.67,-2.508854494,,28750.0
39,99.84233706,17.28796429,43.33211679,11873.0,,,,2071.065,,1031.378,2.336270328,0.966432041,19.56515781,2499688485.0,55.72631541,22.52189781,0.213153848,617100.0,1485.0,702870.0,4949.8,93.67,44.19802676,53.11830621,37.44210683,,88.17109058,95.64,28.69855839,7863.405,27400.0,142000.0,98.36,2.890510949,,,,1291587.0,44.613,-2.524864649,,28750.0
40,99.89709497,12.75664444,42.85729927,11742.9,,,,2095.3275,,1046.0098,1.272659032,0.644994495,19.99018136,2644330679.0,58.27085155,22.46715328,0.213076442,615600.0,1485.0,700370.0,4892.6,95.94,42.25706281,49.83841896,36.65584844,,88.38580247,96.84,28.75051095,7877.64,27400.0,143149.0,98.23,2.934306569,,,,1258985.0,43.577,-2.556585404,,28750.0
41,99.95301414,13.45482415,42.85766423,11743.0,,,,2108.5125,,1085.6736,2.305902254,0.862938518,19.78021442,2252343961.0,69.56521739,22.44890511,0.213524268,615100.0,1485.0,695000.0,4873.8,99.91,41.28352526,47.63384368,36.58192022,,107.831247,100.07,28.8024635,7891.875,27400.0,142600.0,100.24,2.95620438,27331.60161,3.520465685,991.3383374,1226200.0,42.566,-2.638588443,2.783842785,28750.0
42,99.73544337,14.30143014,43.12773723,11817.0,,,,2099.05,,1118.4536,2.404998173,0.980008778,19.84999447,2354447510.0,70.26431718,22.63868613,0.215673928,620300.0,1485.0,698430.0,4716.4,104.15,40.04085241,45.17649291,35.99541561,,126.1384814,103.09,28.80218978,7891.8,27400.0,148084.0,101.53,3.03649635,,,,1195854.0,41.579,-2.505938185,,28750.0
43,99.72917743,14.56210226,42.8569708,11742.81,,,,2053.5525,,1084.422,0.489922364,0.9041165,19.02212664,2476628808.0,64.01098901,22.33576642,0.212983873,612000.0,1485.0,701734.0,4813.0,105.84,38.07834614,42.39117627,34.76802733,,99.80859477,103.88,28.79206204,7889.025,27400.0,145799.0,100.97,3.072992701,,,,1167112.0,40.617,-2.432825322,,28750.0
44,100.0,14.99044785,42.84967153,11740.81,,,,2009.6275,,971.3012,0.325400218,0.682219683,18.4294953,2793252452.0,68.16283925,22.31189781,0.213281858,611346.0,1485.0,678196.0,4840.5,106.17,37.28573248,42.24788933,33.44933891,,66.58507621,106.02,28.7919708,7889.0,27400.0,140110.0,105.5,3.089562044,,,,1137407.0,39.681,-2.578121102,,28750.0
45,100.0,15.24701874,42.84671533,11740.0,,,,1847.0125,,999.7304,0.492667264,0.875030254,18.38933234,2832292992.0,61.18479222,22.26277372,0.213720806,610000.0,1485.0,666065.0,5038.2,107.67,36.41685559,41.57603137,32.36072639,,94.43932787,104.0,28.7919708,7889.0,27400.0,132203.0,98.98,3.138686131,,,,1106598.0,38.771,-2.746066612,,28750.0
46,100.0,15.61487875,42.53850365,11655.55,,,,1687.375,,907.4398,0.565251251,0.973133993,19.22522271,2915069419.0,69.33842239,21.88321168,0.211286788,599600.0,1485.0,684023.0,5209.2,114.06,36.19074425,41.13984856,32.30417791,,101.4281855,105.72,28.7919708,7889.0,27400.0,131310.0,94.47,3.210036496,,,,1075204.0,37.888,-2.878003312,,28750.0
47,100.0,16.54448972,41.47189781,11363.3,,,,,,,0.468064114,0.768459185,18.35812525,3291715602.0,,21.89416058,0.213361046,599900.0,,691126.7,5144.7,114.68,35.640848,40.8522572,31.4727313,,,104.92,28.7919708,7889.0,27400.0,134337.0,91.79,3.198175182,,,,1041188.0,37.031,-3.214804211,,28750.0
48,,,,,,,,,,,0.229068655,0.249995026,18.62282145,3522763459.0,,,,,,690850.0,5200.7,121.68,34.9267183,39.81458245,31.05099969,,,105.4,,,,132839.0,83.74,,,,,1005551.0,36.201,-3.482671893,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,16.68150176,397310.0,94259.0,122.8450411,12.78600269,4748.2975,79.78494624,3707.9842,0.038464867,2.589094964,11.10697987,5402509618.0,60.63472824,3.221594297,0.252849766,7673000.0,89.0,2021053.36,1069.9,39.35,22.47505889,13.33128313,23.90759379,147.385103,12.12042226,43.84,0.66665547,15878.0,2381740.0,1888946.0,52.04,0.217907916,,,,12406086.0,40.882,-0.551511395,,2381740.0
51,97.40930308,,16.80326148,400210.0,95717.0,124.9243017,11.9238477,4756.335,48.78378378,3614.9784,0.04992616,2.594218418,8.395048495,4599680531.0,60.69089797,3.216975824,0.248971385,7662000.0,89.0,934656.39,883.3,30.95,22.235421,13.48082524,23.64155106,83.15315315,12.04646306,41.01,0.662960693,15790.0,2381740.0,1058184.0,59.4,0.222526388,2307182.974,0.018946712,438.5851772,12334776.0,40.081,-0.576456855,0.165027339,2381740.0
52,97.4255236,,16.84020926,401090.0,97176.0,128.1498088,11.52737752,4804.6975,49.86772487,3767.0478,0.054960796,2.357637393,9.749419994,5337290525.0,60.12877379,3.183806797,0.243037199,7583000.0,89.0,2659594.68,1106.9,36.67,21.71543125,13.09612953,23.11851839,68.37662338,13.88632467,44.17,0.677193984,16129.0,2381740.0,2402748.0,57.93,0.243519444,,,,12258243.0,39.288,-0.622398145,,2381740.0
53,97.4253671,,16.73356454,398550.0,97700.0,129.4554127,10.77386469,4645.1075,48.30393487,3560.0272,0.015641668,2.115771112,9.224982107,5236132673.0,60.015,3.168691797,0.23864261,7547000.0,89.0,1953325.24,1058.6,37.64,21.70729537,12.40276551,23.23975901,76.11401674,9.641579436,45.61,0.691427276,16468.0,2381740.0,1845217.0,60.19,0.276688471,,,,12175192.0,38.499,-0.679816979,,2381740.0
54,97.41524411,1.809265343,16.7548515,399057.0,97800.0,130.3357011,10.66666667,4801.585,49.80289093,3790.6196,0.024027455,2.412313926,9.810558037,6657822423.0,59.90977009,3.150511811,0.234081838,7503700.0,89.0,4266387.06,1470.3,49.0,21.72202609,11.66526374,23.39919483,42.62684589,6.001172755,53.44,0.705660567,16807.0,2381740.0,2901720.0,61.45,0.311117082,,,,12090197.0,37.716,-0.700547991,,2381740.0
55,97.40127414,1.927330174,17.27518537,411450.0,97809.0,130.5338316,10.70590744,5017.12,53.62318841,4443.5376,0.010063207,1.909949157,9.440477389,8055803032.0,59.81215649,3.146019297,0.23048161,7493000.0,89.0,4033241.92,1344.1,54.54,21.34047526,10.96976601,23.14137897,90.69065303,25.09515548,58.37,0.719893859,17146.0,2381740.0,3000731.0,65.43,0.337148471,,,,12008938.0,36.939,-0.674375308,,2381740.0
56,97.38974939,2.001892699,17.3028962,412110.0,100128.0,133.3084809,10.38880889,5053.2025,49.73890339,3807.248,0.004355799,1.697917904,7.691314872,7937299461.0,59.72136119,3.153576797,0.227905169,7511000.0,89.0,3527824.19,1500.8,55.85,19.59349189,9.368292243,21.37430418,53.90321646,7.429902809,59.95,0.734127151,17485.0,2381740.0,2350627.0,67.44,0.357721666,,,,11920435.0,36.17,-0.739705161,,2381740.0
57,97.42298984,2.027634103,17.29030037,411810.0,102363.0,137.0321285,10.69882498,5191.0875,52.05992509,4171.4934,0.006964886,2.080846494,7.543077591,8827458545.0,59.63669391,3.136362491,0.223418039,7470000.0,89.0,4018104.98,1503.7,59.16,18.01701358,7.896553732,19.797046,191.4434783,13.2626506,63.27,0.748360442,17824.0,2381740.0,2672232.0,70.72,0.381233888,,,,11838359.0,35.407,-0.690913238,,2381740.0
58,97.39467906,2.193833026,17.32011051,412520.0,103558.0,138.6504217,10.93427036,5293.07,52.18476904,4177.513,0.005570151,2.279388781,7.570625794,10218609833.0,59.55755452,3.13594263,0.219781015,7469000.0,89.0,3602256.33,1253.5,51.52,16.38002075,6.527517103,18.09374798,61.94800155,14.96157451,58.32,0.762593734,18163.0,2381740.0,2873873.0,70.59,0.386692082,,,,11776076.0,34.652,-0.527500611,,2381740.0
59,97.935286,2.07150984,17.34404259,413090.0,104529.0,139.5767125,10.85916372,5220.1325,50.25974026,3872.8378,0.006630881,1.623399055,6.586675992,11263262045.0,59.48341875,3.144339852,0.216635475,7489000.0,89.0,1536002.32,1034.0,52.87,14.82980164,5.44663179,16.47749533,283.9566755,8.576712512,59.26,0.776827026,18502.0,2381740.0,1485477.0,70.79,0.382493471,,,,11720129.0,33.903,-0.476222486,,2381740.0
60,97.4482372,2.137119381,17.37385273,413800.0,,,,5526.8525,,4446.458,0.007413856,1.478355499,9.343365411,12820125456.0,59.41382662,3.146019297,0.212893287,7493000.0,89.0,5253472.23,1653.9,72.36,13.35572701,4.323308404,14.94020822,347.4025974,14.27999466,73.34,0.791060317,18841.0,2381740.0,3176367.0,75.16,0.380394166,,,,11675933.0,33.174,-0.377807621,,2381740.0
61,97.49684271,2.381253928,17.37133356,413740.0,,,,5823.725,,4697.1952,0.015785597,1.626765803,8.466443577,13648525691.0,59.34837284,3.149798047,0.209223785,7502000.0,89.0,4211354.54,1474.3,74.96,12.00620713,3.550125942,13.48129506,271.7889908,15.79578779,76.69,0.805293609,19180.0,2381740.0,2856567.0,79.63,0.381653749,,,,11638969.0,32.46,-0.317085021,,2381740.0
62,97.56310692,2.384773364,17.37721162,413880.0,,,,6017.78,,4792.8234,0.024537213,1.538686354,8.11058988,16222242151.0,59.28669892,3.149798047,0.205289356,7502000.0,89.0,4247535.01,1643.3,83.53,10.77196019,2.940502343,12.26628515,265.8426966,15.76912823,84.76,0.808484553,19256.0,2381740.0,2584734.0,86.81,0.38585236,,,,11607690.0,31.764,-0.269105499,,2381740.0
63,97.67373253,2.519240575,17.38149,413981.9,,,,6345.36,,5199.3848,0.009902882,1.501983324,8.770686355,18335916285.0,59.22848665,3.151687422,0.201459651,7506500.0,89.0,5137455.0,1677.6,88.72,10.75502705,3.642969752,12.22030351,287.432675,21.32818224,89.77,0.811675498,19332.0,2381740.0,3062449.0,91.42,0.387951666,,,,11582446.0,31.085,-0.217713341,,2381740.0
